Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Status
jabon-rosa-mosqueta,Jabon Artesanal Rosa Mosqueta,"<p>Regenerador, antimanchas, antienvejecimiento, vegano</p><ul><li>Rosa mosqueta - regenerador y antimanchas</li><li>Aceite de oliva - hidratacion y elasticidad</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, rosa mosqueta, regenerador, antimanchas, vegano",true,Title,Default Title,9.99,SDA-JAB-ROSAMOSQ,deny,manual,true,true,active
jabon-argan,Jabon Artesanal de Argan,"<p>Antienvejecimiento, elasticidad, equilibrante, vegano</p><ul><li>Argan - antienvejecimiento y elasticidad</li><li>Aceite de oliva - hidratacion profunda</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, argan, antienvejecimiento, elasticidad, vegano",true,Title,Default Title,9.99,SDA-JAB-ARGAN,deny,manual,true,true,active
jabon-monoi,Jabon Artesanal de Monoi,"<p>Hidratacion exquisita, aroma floral, reafirmante, vegano</p><ul><li>Monoi - hidratacion exquisita y aroma floral</li><li>Aceite de coco - suavidad y nutricion</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, monoi, hidratante, floral, vegano",true,Title,Default Title,9.99,SDA-JAB-MONOI,deny,manual,true,true,active
jabon-pepita-uva,Jabon Artesanal Pepita de Uva,"<p>Antioxidante, piel grasa, poros, vegano</p><ul><li>Pepita de uva - antioxidante y regenerador</li><li>Aceite de coco - hidratacion y proteccion</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, pepita uva, antioxidante, piel grasa, vegano",true,Title,Default Title,9.99,SDA-JAB-PEPITAUVA,deny,manual,true,true,active
jabon-carbon-activo,Jabon Artesanal Carbon Activo,"<p>Detox profundo, poros abiertos, piel grasa, purificante, vegano</p><ul><li>Carbon activo - detox profundo y purificante</li><li>Aceite de oliva - hidratacion y suavidad</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, carbon activo, detox, piel grasa, vegano",true,Title,Default Title,9.99,SDA-JAB-CARBON,deny,manual,true,true,active
jabon-azufre,Jabon Artesanal de Azufre,"<p>Antiacne, seborregulador, dermatitis, vegano</p><ul><li>Azufre - antiacne y seborregulador</li><li>Aceite de oliva - hidratacion y suavidad</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, azufre, antiacne, seborregulador, vegano",true,Title,Default Title,9.99,SDA-JAB-AZUFRE,deny,manual,true,true,active
jabon-lavanda,Jabon Artesanal de Lavanda,"<p>Relajante, antiseptico natural, antiacne suave, vegano</p><ul><li>Lavanda - relajante y antiseptico natural</li><li>Aceite de oliva - hidratacion y suavidad</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, lavanda, relajante, antiseptico, vegano",true,Title,Default Title,9.99,SDA-JAB-LAVANDA,deny,manual,true,true,active
jabon-aguacate,Jabon Artesanal de Aguacate,"<p>Humectacion intensa, piel seca, antiinflamatorio, vegano</p><ul><li>Aguacate - humectacion intensa y nutritiva</li><li>Aceite de oliva - hidratacion y elasticidad</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, aguacate, hidratante, piel seca, vegano",true,Title,Default Title,9.99,SDA-JAB-AGUACATE,deny,manual,true,true,active
espuma-depilacion-uva,Espuma Solida Depilacion Pepita de Uva,"<p>Post-depilacion, calmante, antioxidante, vegano, exclusivo web</p><ul><li>Pepita de uva - antioxidante y regenerador</li><li>Aceite de coco - hidrata y protege</li><li>Manteca de karite - nutre y suaviza</li><li>Mas de 60 usos, sin plastico, 90g</li><li>Vegano, cruelty free, exclusivo web</li></ul>",Savia de Alma,Depilacion,"depilacion, pepita uva, post-depilacion, exclusivo web, vegano",true,Title,Default Title,9.99,SDA-JAB-DEP-UVA,deny,manual,true,true,active
espuma-depilacion-aloe,Espuma Solida Depilacion Aloe Vera,"<p>Post-depilacion, aloe vera, piel sensible, vegano, exclusivo web</p><ul><li>Aloe vera - refresca y calma la piel</li><li>Aceite de coco - hidrata y protege</li><li>Manteca de karite - nutre y suaviza</li><li>Mas de 60 usos, sin plastico, 90g</li><li>Vegano, cruelty free, exclusivo web</li></ul>",Savia de Alma,Depilacion,"depilacion, aloe vera, piel sensible, exclusivo web, vegano",true,Title,Default Title,9.99,SDA-JAB-DEP-ALOE,deny,manual,true,true,active
desodorante-te-verde,Desodorante Solido Te Verde,"<p>Antioxidante, antibacteriano, sin aluminio, vegano</p><ul><li>Te verde - antioxidante y antibacteriano</li><li>Sin aluminio, sin parabenos, sin alcohol</li><li>Mas de 60 usos, sin plastico, 50g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>No irrita, no mancha, apto piel sensible</li></ul>",Savia de Alma,Desodorantes,"desodorante, te verde, sin aluminio, antioxidante, vegano",true,Title,Default Title,11.99,SDA-DESO-TEVERDE,deny,manual,true,true,active
desodorante-pomelo,Desodorante Solido Pomelo,"<p>Frescura citrica, antibacteriano, sin aluminio, vegano</p><ul><li>Pomelo - frescura citrica y antibacteriano</li><li>Sin aluminio, sin parabenos, sin alcohol</li><li>Mas de 60 usos, sin plastico, 50g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>No irrita, no mancha, apto piel sensible</li></ul>",Savia de Alma,Desodorantes,"desodorante, pomelo, citrico, sin aluminio, vegano",true,Title,Default Title,11.99,SDA-DESO-POMELO,deny,manual,true,true,active
desodorante-algodon,Desodorante Solido Algodon,"<p>Piel sensible, post-depilacion, aroma discreto, sin aluminio, vegano</p><ul><li>Algodon - aroma fresco y discreto</li><li>Sin aluminio, sin parabenos, sin alcohol</li><li>Mas de 60 usos, sin plastico, 50g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Ideal post-depilacion, apto piel sensible</li></ul>",Savia de Alma,Desodorantes,"desodorante, algodon, piel sensible, sin aluminio, vegano",true,Title,Default Title,11.99,SDA-DESO-ALGODON,deny,manual,true,true,active
desodorante-madera,Desodorante Solido Madera,"<p>Aroma amaderado, unisex, antiseptico, sin aluminio, vegano</p><ul><li>Madera - aroma amaderado y antiseptico</li><li>Sin aluminio, sin parabenos, sin alcohol</li><li>Mas de 60 usos, sin plastico, 50g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Unisex, no irrita, no mancha</li></ul>",Savia de Alma,Desodorantes,"desodorante, madera, unisex, sin aluminio, vegano",true,Title,Default Title,11.99,SDA-DESO-MADERA,deny,manual,true,true,active
acondicionador-coco,Acondicionador Solido Coco,"<p>Nutricion profunda, suavidad, sin siliconas, vegano, exclusivo web</p><ul><li>Aceite de coco - nutricion profunda y brillo</li><li>Pantenol - fortalece y da brillo</li><li>Vitamina E - antioxidante natural</li><li>Mas de 60 usos, sin plastico, 55g</li><li>Sin siliconas, sin parabenos, exclusivo web</li></ul>",Savia de Alma,Acondicionadores,"acondicionador, coco, sin siliconas, brillo, exclusivo web, vegano",true,Title,Default Title,11.99,SDA-ACOND-COCO,deny,manual,true,true,active
acondicionador-almendra,Acondicionador Solido Aceite de Almendra,"<p>Define rizos, antifrizz, sin siliconas, vegano, exclusivo web</p><ul><li>Aceite de almendra - define y nutre los rizos</li><li>Manteca de karite - protege y repara</li><li>Provitamina B5 - hidrata y fortalece</li><li>Mas de 60 usos, sin plastico, 55g</li><li>Sin siliconas, sin parabenos, exclusivo web</li></ul>",Savia de Alma,Acondicionadores,"acondicionador, almendra, rizos, antifrizz, exclusivo web, vegano",true,Title,Default Title,11.99,SDA-ACOND-ALMENDRA,deny,manual,true,true,active
limpiador-facial-rosa-mosqueta,Limpiador Facial Solido Rosa Mosqueta,"<p>Regenerador, luminosidad, piel sensible, sin resecar, vegano</p><ul><li>Rosa mosqueta - regenerador y antimanchas</li><li>Limpieza profunda sin resecar</li><li>Sin plastico, zero waste, 60g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Apto piel sensible, uso diario</li></ul>",Savia de Alma,Limpiadores Faciales,"limpiador facial, rosa mosqueta, regenerador, piel sensible, vegano",true,Title,Default Title,11.99,SDA-FACIAL-ROSAMOSQ,deny,manual,true,true,active
limpiador-facial-aloe-pepino,Limpiador Facial Solido Aloe Vera y Pepino,"<p>Hidratante, refrescante, calmante, pieles mixtas, vegano</p><ul><li>Aloe vera - hidratante y calmante</li><li>Pepino - refrescante y equilibrante</li><li>Sin plastico, zero waste, 60g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Apto pieles mixtas, uso diario</li></ul>",Savia de Alma,Limpiadores Faciales,"limpiador facial, aloe vera, pepino, hidratante, vegano",true,Title,Default Title,11.99,SDA-FACIAL-ALOE,deny,manual,true,true,active
espuma-afeitar-avellana,Espuma de Afeitar Solida Aceite de Avellana,"<p>Zero waste, espuma cremosa, sin irritacion, aceite avellana, vegano</p><ul><li>Aceite de avellana - nutritivo y suavizante</li><li>Espuma cremosa de larga duracion</li><li>Mas de 60 usos, sin plastico, 90g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Sin SLS ni SCI, apto uso diario</li></ul>",Savia de Alma,Afeitado,"espuma afeitar, avellana, zero waste, vegano",true,Title,Default Title,11.99,SDA-AFEITAR-SOLID,deny,manual,true,true,active
